Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-04-08,2014,4,8,Tuesday,14,2014-14,184.26,185.4,183.59,185.1,112660000.0,163.56,0.004122925434467906,164.64142857142858,162.20500000000004
2014-04-09,2014,4,9,Wednesday,14,2014-14,185.6,187.15,185.06,187.09,100254000.0,165.32,0.010750802298679085,164.65214285714288,162.36060000000006
2014-04-10,2014,4,10,Thursday,14,2014-14,187.08,187.17,182.93,183.16,172959000.0,161.85,-0.021005977235556195,164.46071428571426,162.47700000000006
2014-04-11,2014,4,11,Friday,14,2014-14,182.14,183.42,181.31,181.51,167251000.0,160.39,-0.00900832782431582,164.2135714285714,162.53120000000007
2014-04-14,2014,4,14,Monday,15,2014-15,182.93,183.37,181.44,182.94,132382000.0,161.65,0.007878091600831194,164.00071428571428,162.62900000000005
2014-04-15,2014,4,15,Tuesday,15,2014-15,183.32,184.33,181.51,184.2,157093000.0,162.77,0.006887694493667329,163.95214285714286,162.81980000000007
2014-04-16,2014,4,16,Wednesday,15,2014-15,185.47,186.14,184.65,186.13,105197000.0,164.47,0.010477656490810894,164.04999999999998,163.02320000000006
2014-04-17,2014,4,17,Thursday,15,2014-15,185.88,186.91,185.56,186.39,105255000.0,164.7,0.001396902785326004,164.10642857142855,163.23500000000004
2014-04-21,2014,4,21,Monday,16,2014-16,186.44,187.1,186.21,187.04,68329000.0,165.28,0.003487246457560378,164.10857142857142,163.41780000000006
2014-04-22,2014,4,22,Tuesday,16,2014-16,187.23,188.4,187.13,187.89,85790000.0,166.03,0.004544689104341915,164.08571428571432,163.57700000000006
2014-04-23,2014,4,23,Wednesday,16,2014-16,187.82,187.92,187.3,187.45,73869000.0,165.64,-0.0023421136555592525,163.99571428571429,163.72240000000002
2014-04-24,2014,4,24,Thursday,16,2014-16,188.37,188.39,186.93,187.83,88170000.0,165.97,0.0020272151281872652,163.945,163.83980000000003
2014-04-25,2014,4,25,Friday,16,2014-16,187.22,187.33,185.87,186.29,100380000.0,164.61,-0.008198731816705829,163.93785714285715,163.92840000000004
2014-04-28,2014,4,28,Monday,17,2014-17,187.05,187.69,184.96,186.88,135121000.0,165.13,0.003167097264099583,164.09785714285718,164.01100000000002
2014-04-29,2014,4,29,Tuesday,17,2014-17,187.48,188.04,187.08,187.75,84098000.0,165.9,0.004655211716497076,164.26500000000004,164.09120000000001
2014-04-30,2014,4,30,Wednesday,17,2014-17,187.44,188.5,187.18,188.31,101508000.0,166.4,0.0029828949845662756,164.34214285714287,164.1774
2014-05-01,2014,5,1,Thursday,17,2014-17,188.22,188.84,187.73,188.33,93019000.0,166.42,0.00010618893505798255,164.66857142857148,164.28560000000002
2014-05-02,2014,5,2,Friday,17,2014-17,188.31,189.14,187.78,188.06,98122000.0,166.18,-0.0014338568649954198,165.08214285714288,164.37000000000003
