Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-03-03,2016,3,3,Thursday,09,2016-09,117.48,117.48,115.32,116.69,9132000,99.34,-0.015108088123618524,99.71571428571428,99.9697619047619
2016-03-04,2016,3,4,Friday,09,2016-09,116.72,117.45,115.9,117.18,5857400,99.76,0.004199113776415464,99.72357142857142,99.96488372093023
2016-03-07,2016,3,7,Monday,10,2016-10,117.03,117.57,116.12,117.15,5640700,99.74,-0.0002558887096716367,99.655,99.95977272727272
2016-03-08,2016,3,8,Tuesday,10,2016-10,116.21,119.08,116.21,118.42,6236200,100.82,0.010840800385476523,99.69571428571429,99.97888888888889
2016-03-09,2016,3,9,Wednesday,10,2016-10,119.24,120.2,118.46,119.64,6428200,101.86,0.010302194527790132,99.9,100.01978260869565
2016-03-10,2016,3,10,Thursday,10,2016-10,119.91,120.86,118.66,119.98,6171200,102.15,0.0028418398523621935,100.16357142857143,100.06510638297873
2016-03-11,2016,3,11,Friday,10,2016-10,120.49,122.01,120.36,121.55,7042300,103.48,0.013085461897519801,100.45285714285714,100.13625
2016-03-14,2016,3,14,Monday,11,2016-11,121.81,123.49,121.45,122.9,7912100,104.63,0.011106531874924386,100.87071428571429,100.22795918367348
2016-03-15,2016,3,15,Tuesday,11,2016-11,122.3,123.76,122.21,123.43,5061400,105.08,0.004312729391287906,101.31142857142856,100.325
2016-03-16,2016,3,16,Wednesday,11,2016-11,123.33,124.06,122.67,123.52,6716700,105.16,0.0007290122555521084,101.67857142857143,100.4412
2016-03-17,2016,3,17,Thursday,11,2016-11,123.27,123.85,123.11,123.16,6108700,104.85,-0.0029145051406496147,102.04928571428572,100.52380000000001
2016-03-18,2016,3,18,Friday,11,2016-11,123.43,124.12,122.75,124.08,14783800,105.64,0.007469967184009718,102.46857142857144,100.6358
2016-03-21,2016,3,21,Monday,12,2016-12,123.66,124.5,123.05,123.81,4050100,105.41,-0.0021760857064319072,102.77071428571428,100.7894
2016-03-22,2016,3,22,Tuesday,12,2016-12,123.79,124.39,123.56,123.82,3494500,105.41,8.084927494778071e-05,103.095,100.946
2016-03-23,2016,3,23,Wednesday,12,2016-12,124.1,125.0,123.86,124.19,4143600,105.73,0.0029880692184649504,103.55142857142857,101.08859999999999
2016-03-24,2016,3,24,Thursday,12,2016-12,123.69,124.0,122.66,123.29,5796700,104.96,-0.007246954608577494,103.92285714285715,101.2032
2016-03-28,2016,3,28,Monday,13,2016-13,124.0,124.2,123.12,123.17,4784400,104.86,-0.0009734110928305562,104.28857142857143,101.355
